MMHT2014nlo68cl	1.00 GeV^2
x  xs-  delta_xs-
6.668068E-04  -3.084033E-03  2.530119E-03
6.729767E-04  -3.089502E-03  2.534195E-03
6.792036E-04  -3.094974E-03  2.538267E-03
6.854882E-04  -3.100449E-03  2.542337E-03
6.918310E-04  -3.105925E-03  2.546402E-03
6.982324E-04  -3.111403E-03  2.550464E-03
7.046931E-04  -3.116882E-03  2.554521E-03
7.112135E-04  -3.122362E-03  2.558573E-03
7.177943E-04  -3.127842E-03  2.562619E-03
7.244360E-04  -3.133321E-03  2.566660E-03
7.311391E-04  -3.138800E-03  2.570695E-03
7.379042E-04  -3.144277E-03  2.574723E-03
7.447320E-04  -3.149753E-03  2.578744E-03
7.516229E-04  -3.155226E-03  2.582758E-03
7.585776E-04  -3.160697E-03  2.586764E-03
7.655966E-04  -3.166164E-03  2.590762E-03
7.726806E-04  -3.171628E-03  2.594751E-03
7.798301E-04  -3.177088E-03  2.598731E-03
7.870458E-04  -3.182543E-03  2.602702E-03
7.943282E-04  -3.187993E-03  2.606663E-03
8.016781E-04  -3.193439E-03  2.610615E-03
8.090959E-04  -3.198893E-03  2.614576E-03
8.165824E-04  -3.204360E-03  2.618554E-03
8.241381E-04  -3.209838E-03  2.622544E-03
8.317638E-04  -3.215325E-03  2.626542E-03
8.394600E-04  -3.220818E-03  2.630546E-03
8.472274E-04  -3.226316E-03  2.634552E-03
8.550667E-04  -3.231817E-03  2.638556E-03
8.629785E-04  -3.237319E-03  2.642556E-03
8.709636E-04  -3.242819E-03  2.646546E-03
8.790225E-04  -3.248315E-03  2.650525E-03
8.871560E-04  -3.253805E-03  2.654488E-03
8.953648E-04  -3.259288E-03  2.658432E-03
9.036495E-04  -3.264760E-03  2.662354E-03
9.120108E-04  -3.270220E-03  2.666249E-03
9.204496E-04  -3.275667E-03  2.670116E-03
9.289664E-04  -3.281097E-03  2.673949E-03
9.375620E-04  -3.286508E-03  2.677747E-03
9.462372E-04  -3.291900E-03  2.681505E-03
9.549926E-04  -3.297268E-03  2.685220E-03
9.638290E-04  -3.302612E-03  2.688888E-03
