NNPDF30_nnlo_as_0118	 3.2
x	 x*uv	 dx*uv	 x*dv	 dx*dv	 x*(uv-dv)	 dx*(uv-dv)
1.815E-01	6.183E-01	9.922E-03	2.834E-01	1.334E-02	3.348E-01	1.477E-02
1.825E-01	6.185E-01	9.923E-03	2.831E-01	1.333E-02	3.354E-01	1.478E-02
1.835E-01	6.186E-01	9.924E-03	2.828E-01	1.333E-02	3.359E-01	1.480E-02
1.845E-01	6.188E-01	9.925E-03	2.825E-01	1.333E-02	3.363E-01	1.481E-02
1.855E-01	6.189E-01	9.927E-03	2.821E-01	1.332E-02	3.368E-01	1.483E-02
1.865E-01	6.190E-01	9.928E-03	2.818E-01	1.332E-02	3.373E-01	1.484E-02
1.875E-01	6.191E-01	9.930E-03	2.814E-01	1.332E-02	3.377E-01	1.486E-02
1.885E-01	6.192E-01	9.931E-03	2.811E-01	1.331E-02	3.382E-01	1.487E-02
1.895E-01	6.193E-01	9.932E-03	2.807E-01	1.331E-02	3.386E-01	1.488E-02
1.905E-01	6.193E-01	9.933E-03	2.803E-01	1.331E-02	3.390E-01	1.489E-02
1.915E-01	6.193E-01	9.933E-03	2.799E-01	1.331E-02	3.394E-01	1.490E-02
1.925E-01	6.193E-01	9.933E-03	2.796E-01	1.331E-02	3.398E-01	1.491E-02
1.935E-01	6.193E-01	9.932E-03	2.792E-01	1.330E-02	3.402E-01	1.492E-02
1.945E-01	6.193E-01	9.931E-03	2.788E-01	1.330E-02	3.405E-01	1.492E-02
1.955E-01	6.192E-01	9.930E-03	2.784E-01	1.330E-02	3.409E-01	1.493E-02
1.965E-01	6.192E-01	9.928E-03	2.779E-01	1.330E-02	3.412E-01	1.493E-02
1.975E-01	6.191E-01	9.926E-03	2.775E-01	1.329E-02	3.416E-01	1.493E-02
1.985E-01	6.190E-01	9.924E-03	2.771E-01	1.329E-02	3.419E-01	1.493E-02
1.995E-01	6.189E-01	9.921E-03	2.767E-01	1.329E-02	3.422E-01	1.493E-02
2.005E-01	6.187E-01	9.918E-03	2.762E-01	1.329E-02	3.425E-01	1.493E-02
2.015E-01	6.186E-01	9.914E-03	2.758E-01	1.328E-02	3.428E-01	1.492E-02
2.025E-01	6.184E-01	9.909E-03	2.753E-01	1.328E-02	3.431E-01	1.492E-02
2.035E-01	6.182E-01	9.903E-03	2.749E-01	1.327E-02	3.434E-01	1.491E-02
2.045E-01	6.180E-01	9.897E-03	2.744E-01	1.327E-02	3.436E-01	1.490E-02
2.055E-01	6.178E-01	9.889E-03	2.740E-01	1.326E-02	3.439E-01	1.488E-02
2.065E-01	6.176E-01	9.881E-03	2.735E-01	1.326E-02	3.441E-01	1.487E-02
2.075E-01	6.173E-01	9.872E-03	2.730E-01	1.325E-02	3.443E-01	1.484E-02
2.085E-01	6.171E-01	9.861E-03	2.725E-01	1.324E-02	3.446E-01	1.482E-02
2.095E-01	6.168E-01	9.850E-03	2.720E-01	1.324E-02	3.448E-01	1.479E-02
2.105E-01	6.165E-01	9.837E-03	2.715E-01	1.323E-02	3.450E-01	1.476E-02
2.115E-01	6.162E-01	9.822E-03	2.710E-01	1.322E-02	3.452E-01	1.472E-02
2.125E-01	6.159E-01	9.807E-03	2.705E-01	1.320E-02	3.453E-01	1.468E-02
2.135E-01	6.155E-01	9.791E-03	2.700E-01	1.319E-02	3.455E-01	1.464E-02
2.145E-01	6.151E-01	9.774E-03	2.695E-01	1.318E-02	3.456E-01	1.459E-02
2.155E-01	6.148E-01	9.757E-03	2.690E-01	1.317E-02	3.458E-01	1.454E-02
2.165E-01	6.144E-01	9.740E-03	2.684E-01	1.315E-02	3.459E-01	1.449E-02
2.175E-01	6.140E-01	9.722E-03	2.679E-01	1.314E-02	3.460E-01	1.444E-02
2.185E-01	6.135E-01	9.705E-03	2.674E-01	1.312E-02	3.462E-01	1.438E-02
2.195E-01	6.131E-01	9.688E-03	2.668E-01	1.310E-02	3.463E-01	1.432E-02
2.205E-01	6.126E-01	9.671E-03	2.663E-01	1.309E-02	3.464E-01	1.427E-02
2.215E-01	6.122E-01	9.655E-03	2.657E-01	1.307E-02	3.465E-01	1.421E-02
2.225E-01	6.117E-01	9.639E-03	2.651E-01	1.306E-02	3.465E-01	1.415E-02
2.235E-01	6.112E-01	9.623E-03	2.646E-01	1.304E-02	3.466E-01	1.410E-02
2.245E-01	6.107E-01	9.608E-03	2.640E-01	1.302E-02	3.467E-01	1.404E-02
2.255E-01	6.102E-01	9.592E-03	2.634E-01	1.300E-02	3.467E-01	1.398E-02
2.265E-01	6.096E-01	9.577E-03	2.628E-01	1.298E-02	3.468E-01	1.392E-02
2.275E-01	6.091E-01	9.562E-03	2.623E-01	1.296E-02	3.468E-01	1.387E-02
2.285E-01	6.085E-01	9.547E-03	2.617E-01	1.295E-02	3.469E-01	1.381E-02
2.295E-01	6.080E-01	9.532E-03	2.611E-01	1.292E-02	3.469E-01	1.375E-02
2.305E-01	6.074E-01	9.517E-03	2.604E-01	1.290E-02	3.469E-01	1.370E-02
2.315E-01	6.068E-01	9.502E-03	2.598E-01	1.288E-02	3.469E-01	1.364E-02
2.325E-01	6.062E-01	9.488E-03	2.592E-01	1.286E-02	3.469E-01	1.358E-02
2.335E-01	6.055E-01	9.474E-03	2.586E-01	1.284E-02	3.469E-01	1.352E-02
2.345E-01	6.049E-01	9.460E-03	2.580E-01	1.282E-02	3.469E-01	1.347E-02
2.355E-01	6.042E-01	9.447E-03	2.573E-01	1.279E-02	3.469E-01	1.341E-02
2.365E-01	6.036E-01	9.434E-03	2.567E-01	1.277E-02	3.469E-01	1.335E-02
2.375E-01	6.029E-01	9.421E-03	2.561E-01	1.274E-02	3.469E-01	1.329E-02
2.385E-01	6.022E-01	9.408E-03	2.554E-01	1.272E-02	3.468E-01	1.324E-02
2.395E-01	6.015E-01	9.395E-03	2.547E-01	1.269E-02	3.468E-01	1.318E-02
2.405E-01	6.008E-01	9.382E-03	2.541E-01	1.267E-02	3.467E-01	1.313E-02
2.415E-01	6.001E-01	9.370E-03	2.534E-01	1.264E-02	3.467E-01	1.307E-02
2.425E-01	5.993E-01	9.357E-03	2.528E-01	1.261E-02	3.466E-01	1.302E-02
2.435E-01	5.986E-01	9.343E-03	2.521E-01	1.258E-02	3.465E-01	1.296E-02
2.445E-01	5.978E-01	9.330E-03	2.514E-01	1.256E-02	3.464E-01	1.291E-02
2.455E-01	5.971E-01	9.316E-03	2.507E-01	1.253E-02	3.464E-01	1.286E-02
2.465E-01	5.963E-01	9.302E-03	2.500E-01	1.250E-02	3.463E-01	1.280E-02
2.475E-01	5.955E-01	9.287E-03	2.493E-01	1.247E-02	3.462E-01	1.275E-02
2.485E-01	5.947E-01	9.272E-03	2.486E-01	1.243E-02	3.461E-01	1.270E-02
2.495E-01	5.939E-01	9.256E-03	2.479E-01	1.240E-02	3.460E-01	1.265E-02
2.505E-01	5.931E-01	9.240E-03	2.472E-01	1.237E-02	3.459E-01	1.260E-02
2.515E-01	5.923E-01	9.224E-03	2.465E-01	1.234E-02	3.458E-01	1.256E-02
2.525E-01	5.914E-01	9.209E-03	2.458E-01	1.231E-02	3.456E-01	1.251E-02
2.535E-01	5.906E-01	9.194E-03	2.451E-01	1.227E-02	3.455E-01	1.247E-02
2.545E-01	5.897E-01	9.181E-03	2.443E-01	1.224E-02	3.454E-01	1.243E-02
2.555E-01	5.888E-01	9.168E-03	2.436E-01	1.221E-02	3.452E-01	1.240E-02
2.565E-01	5.879E-01	9.157E-03	2.428E-01	1.218E-02	3.451E-01	1.237E-02
2.575E-01	5.870E-01	9.147E-03	2.421E-01	1.215E-02	3.449E-01	1.234E-02
