NNPDF30_nlo_as_0118	1.00 GeV^2
x  xs-  delta_xs-
6.854882E-04  -3.419322E-03  5.163694E-03
6.918310E-04  -3.428107E-03  5.169843E-03
6.982324E-04  -3.436911E-03  5.176067E-03
7.046931E-04  -3.445734E-03  5.182358E-03
7.112135E-04  -3.454576E-03  5.188705E-03
7.177943E-04  -3.463438E-03  5.195100E-03
7.244360E-04  -3.472320E-03  5.201533E-03
7.311391E-04  -3.481223E-03  5.207994E-03
7.379042E-04  -3.490146E-03  5.214475E-03
7.447320E-04  -3.499090E-03  5.220966E-03
7.516229E-04  -3.508055E-03  5.227457E-03
7.585776E-04  -3.517042E-03  5.233940E-03
7.655966E-04  -3.526050E-03  5.240406E-03
7.726806E-04  -3.535081E-03  5.246846E-03
7.798301E-04  -3.544134E-03  5.253250E-03
7.870458E-04  -3.553209E-03  5.259611E-03
7.943282E-04  -3.562308E-03  5.265919E-03
8.016781E-04  -3.571430E-03  5.272165E-03
8.090959E-04  -3.580575E-03  5.278342E-03
8.165824E-04  -3.589745E-03  5.284441E-03
8.241381E-04  -3.598938E-03  5.290454E-03
8.317638E-04  -3.608156E-03  5.296372E-03
8.394600E-04  -3.617399E-03  5.302189E-03
8.472274E-04  -3.626667E-03  5.307896E-03
8.550667E-04  -3.635960E-03  5.313487E-03
8.629785E-04  -3.645279E-03  5.318953E-03
8.709636E-04  -3.654624E-03  5.324289E-03
8.790225E-04  -3.663996E-03  5.329487E-03
8.871560E-04  -3.673393E-03  5.334541E-03
8.953648E-04  -3.682818E-03  5.339444E-03
9.036495E-04  -3.692270E-03  5.344192E-03
9.120108E-04  -3.701749E-03  5.348779E-03
9.204496E-04  -3.711256E-03  5.353198E-03
9.289664E-04  -3.720791E-03  5.357447E-03
9.375620E-04  -3.730354E-03  5.361520E-03
9.462372E-04  -3.739946E-03  5.365413E-03
9.549926E-04  -3.749567E-03  5.369124E-03
9.638290E-04  -3.759241E-03  5.372800E-03
9.727472E-04  -3.768986E-03  5.376572E-03
9.817479E-04  -3.778798E-03  5.380445E-03
9.908319E-04  -3.788673E-03  5.384427E-03
1.000000E-03  -3.798607E-03  5.388525E-03
1.009253E-03  -3.808598E-03  5.392745E-03
1.018591E-03  -3.818641E-03  5.397091E-03
1.028016E-03  -3.828733E-03  5.401570E-03
1.037528E-03  -3.838870E-03  5.406184E-03
1.047129E-03  -3.849048E-03  5.410938E-03
1.056818E-03  -3.859264E-03  5.415834E-03
1.066596E-03  -3.869514E-03  5.420874E-03
1.076465E-03  -3.879794E-03  5.426058E-03
1.086426E-03  -3.890101E-03  5.431386E-03
1.096478E-03  -3.900431E-03  5.436858E-03
1.106624E-03  -3.910781E-03  5.442471E-03
1.116863E-03  -3.921146E-03  5.448223E-03
1.127197E-03  -3.931524E-03  5.454110E-03
1.137627E-03  -3.941910E-03  5.460128E-03
1.148154E-03  -3.952300E-03  5.466271E-03
1.158777E-03  -3.962692E-03  5.472532E-03
1.169499E-03  -3.973082E-03  5.478905E-03
1.180321E-03  -3.983465E-03  5.485382E-03
1.191242E-03  -3.993838E-03  5.491953E-03
1.202264E-03  -4.004198E-03  5.498611E-03
1.213389E-03  -4.014541E-03  5.505344E-03
1.224616E-03  -4.024863E-03  5.512143E-03
