x	s-sbar	delta
5.2000E-04	-2.8829E-01	1.0582E-01
5.2481E-04	-2.8697E-01	1.0534E-01
5.2966E-04	-2.8566E-01	1.0486E-01
5.3456E-04	-2.8435E-01	1.0438E-01
5.3951E-04	-2.8305E-01	1.0390E-01
5.4450E-04	-2.8175E-01	1.0342E-01
5.4954E-04	-2.8046E-01	1.0295E-01
5.5463E-04	-2.7918E-01	1.0248E-01
5.5976E-04	-2.7790E-01	1.0201E-01
5.6494E-04	-2.7663E-01	1.0154E-01
5.7016E-04	-2.7536E-01	1.0108E-01
5.7544E-04	-2.7410E-01	1.0061E-01
5.8076E-04	-2.7284E-01	1.0015E-01
5.8614E-04	-2.7160E-01	9.9695E-02
5.9156E-04	-2.7035E-01	9.9238E-02
5.9704E-04	-2.6911E-01	9.8784E-02
6.0256E-04	-2.6788E-01	9.8332E-02
6.0814E-04	-2.6666E-01	9.7882E-02
6.1376E-04	-2.6544E-01	9.7434E-02
6.1944E-04	-2.6422E-01	9.6988E-02
6.2517E-04	-2.6301E-01	9.6544E-02
6.3096E-04	-2.6181E-01	9.6102E-02
6.3680E-04	-2.6061E-01	9.5662E-02
6.4269E-04	-2.5942E-01	9.5224E-02
6.4863E-04	-2.5823E-01	9.4788E-02
6.5464E-04	-2.5705E-01	9.4354E-02
6.6069E-04	-2.5587E-01	9.3922E-02
6.6681E-04	-2.5470E-01	9.3492E-02
6.7298E-04	-2.5353E-01	9.3065E-02
6.7920E-04	-2.5237E-01	9.2639E-02
6.8549E-04	-2.5122E-01	9.2215E-02
6.9183E-04	-2.5007E-01	9.1793E-02
6.9823E-04	-2.4892E-01	9.1372E-02
7.0469E-04	-2.4778E-01	9.0954E-02
7.1121E-04	-2.4665E-01	9.0538E-02
7.1779E-04	-2.4552E-01	9.0124E-02
7.2444E-04	-2.4440E-01	8.9711E-02
7.3114E-04	-2.4328E-01	8.9301E-02
7.3790E-04	-2.4217E-01	8.8892E-02
7.4473E-04	-2.4106E-01	8.8485E-02
7.5162E-04	-2.3995E-01	8.8080E-02
7.5858E-04	-2.3886E-01	8.7677E-02
7.6560E-04	-2.3776E-01	8.7276E-02
7.7268E-04	-2.3668E-01	8.6877E-02
7.7983E-04	-2.3559E-01	8.6479E-02
7.8705E-04	-2.3451E-01	8.6083E-02
7.9433E-04	-2.3344E-01	8.5690E-02
8.0168E-04	-2.3237E-01	8.5298E-02
8.0910E-04	-2.3131E-01	8.4907E-02
8.1658E-04	-2.3025E-01	8.4519E-02
8.2414E-04	-2.2920E-01	8.4132E-02
8.3176E-04	-2.2815E-01	8.3747E-02
8.3946E-04	-2.2711E-01	8.3364E-02
8.4723E-04	-2.2607E-01	8.2983E-02
8.5507E-04	-2.2503E-01	8.2603E-02
8.6298E-04	-2.2400E-01	8.2225E-02
8.7096E-04	-2.2298E-01	8.1849E-02
8.7902E-04	-2.2196E-01	8.1474E-02
8.8716E-04	-2.2094E-01	8.1102E-02
8.9536E-04	-2.1993E-01	8.0731E-02
9.0365E-04	-2.1893E-01	8.0361E-02
9.1201E-04	-2.1792E-01	7.9994E-02
9.2045E-04	-2.1693E-01	7.9628E-02
9.2897E-04	-2.1593E-01	7.9263E-02
9.3756E-04	-2.1495E-01	7.8901E-02
9.4624E-04	-2.1396E-01	7.8540E-02
9.5499E-04	-2.1298E-01	7.8181E-02
9.6383E-04	-2.1201E-01	7.7823E-02
9.7275E-04	-2.1104E-01	7.7467E-02
9.8175E-04	-2.1008E-01	7.7113E-02
9.9083E-04	-2.0911E-01	7.6760E-02
1.0000E-03	-2.0816E-01	7.6409E-02
1.0093E-03	-2.0721E-01	7.6059E-02
1.0186E-03	-2.0626E-01	7.5711E-02
1.0280E-03	-2.0531E-01	7.5365E-02
1.0375E-03	-2.0438E-01	7.5020E-02
1.0471E-03	-2.0344E-01	7.4677E-02
1.0568E-03	-2.0251E-01	7.4335E-02
1.0666E-03	-2.0158E-01	7.3995E-02
1.0765E-03	-2.0066E-01	7.3657E-02
1.0864E-03	-1.9974E-01	7.3320E-02
1.0965E-03	-1.9883E-01	7.2985E-02
1.1066E-03	-1.9792E-01	7.2651E-02
1.1169E-03	-1.9702E-01	7.2319E-02
1.1272E-03	-1.9611E-01	7.1988E-02
1.1376E-03	-1.9522E-01	7.1659E-02
1.1482E-03	-1.9432E-01	7.1331E-02
1.1588E-03	-1.9344E-01	7.1005E-02
1.1695E-03	-1.9255E-01	7.0680E-02
1.1803E-03	-1.9167E-01	7.0357E-02
1.1912E-03	-1.9079E-01	7.0035E-02
1.2023E-03	-1.8992E-01	6.9715E-02
1.2134E-03	-1.8905E-01	6.9396E-02
1.2246E-03	-1.8819E-01	6.9078E-02
1.2359E-03	-1.8733E-01	6.8762E-02
1.2474E-03	-1.8647E-01	6.8448E-02
1.2589E-03	-1.8562E-01	6.8135E-02
1.2706E-03	-1.8477E-01	6.7823E-02
1.2823E-03	-1.8392E-01	6.7513E-02
1.2942E-03	-1.8308E-01	6.7204E-02
1.3062E-03	-1.8225E-01	6.6897E-02
1.3183E-03	-1.8141E-01	6.6591E-02
1.3305E-03	-1.8058E-01	6.6287E-02
1.3428E-03	-1.7976E-01	6.5983E-02
1.3552E-03	-1.7893E-01	6.5682E-02
1.3677E-03	-1.7812E-01	6.5381E-02
1.3804E-03	-1.7730E-01	6.5082E-02
1.3932E-03	-1.7649E-01	6.4785E-02
1.4060E-03	-1.7568E-01	6.4488E-02
1.4191E-03	-1.7488E-01	6.4193E-02
1.4322E-03	-1.7408E-01	6.3900E-02
1.4454E-03	-1.7328E-01	6.3608E-02
1.4588E-03	-1.7249E-01	6.3317E-02
1.4723E-03	-1.7170E-01	6.3027E-02
1.4859E-03	-1.7092E-01	6.2739E-02
1.4997E-03	-1.7014E-01	6.2452E-02
1.5136E-03	-1.6936E-01	6.2166E-02
1.5276E-03	-1.6858E-01	6.1882E-02
1.5417E-03	-1.6781E-01	6.1599E-02
1.5560E-03	-1.6704E-01	6.1317E-02
1.5704E-03	-1.6628E-01	6.1037E-02
1.5849E-03	-1.6552E-01	6.0758E-02
1.5996E-03	-1.6476E-01	6.0480E-02
1.6144E-03	-1.6401E-01	6.0203E-02
1.6293E-03	-1.6326E-01	5.9928E-02
1.6444E-03	-1.6251E-01	5.9654E-02
1.6596E-03	-1.6177E-01	5.9381E-02
1.6749E-03	-1.6103E-01	5.9109E-02
1.6904E-03	-1.6029E-01	5.8839E-02
1.7061E-03	-1.5956E-01	5.8570E-02
