x	s-sbar	delta
4.6989E-04	-5.2461E-02	9.6625E-02
4.7424E-04	-5.2247E-02	9.6224E-02
4.7863E-04	-5.2034E-02	9.5825E-02
4.8306E-04	-5.1822E-02	9.5428E-02
4.8753E-04	-5.1610E-02	9.5032E-02
4.9204E-04	-5.1400E-02	9.4638E-02
4.9659E-04	-5.1190E-02	9.4245E-02
5.0119E-04	-5.0981E-02	9.3855E-02
5.0582E-04	-5.0773E-02	9.3465E-02
5.1050E-04	-5.0566E-02	9.3078E-02
5.1523E-04	-5.0360E-02	9.2692E-02
5.2000E-04	-5.0154E-02	9.2308E-02
5.2481E-04	-4.9950E-02	9.1925E-02
5.2966E-04	-4.9746E-02	9.1544E-02
5.3456E-04	-4.9543E-02	9.1165E-02
5.3951E-04	-4.9341E-02	9.0787E-02
5.4450E-04	-4.9140E-02	9.0410E-02
5.4954E-04	-4.8939E-02	9.0036E-02
5.5463E-04	-4.8740E-02	8.9663E-02
5.5976E-04	-4.8541E-02	8.9291E-02
5.6494E-04	-4.8343E-02	8.8921E-02
5.7016E-04	-4.8146E-02	8.8553E-02
5.7544E-04	-4.7950E-02	8.8186E-02
5.8076E-04	-4.7754E-02	8.7820E-02
5.8614E-04	-4.7559E-02	8.7457E-02
5.9156E-04	-4.7365E-02	8.7094E-02
5.9704E-04	-4.7172E-02	8.6733E-02
6.0256E-04	-4.6980E-02	8.6374E-02
6.0814E-04	-4.6788E-02	8.6016E-02
6.1376E-04	-4.6597E-02	8.5660E-02
6.1944E-04	-4.6407E-02	8.5305E-02
6.2517E-04	-4.6218E-02	8.4952E-02
6.3096E-04	-4.6030E-02	8.4600E-02
6.3680E-04	-4.5842E-02	8.4250E-02
6.4269E-04	-4.5655E-02	8.3901E-02
6.4863E-04	-4.5469E-02	8.3554E-02
6.5464E-04	-4.5284E-02	8.3208E-02
6.6069E-04	-4.5099E-02	8.2863E-02
6.6681E-04	-4.4915E-02	8.2520E-02
6.7298E-04	-4.4732E-02	8.2179E-02
6.7920E-04	-4.4550E-02	8.1838E-02
6.8549E-04	-4.4368E-02	8.1500E-02
6.9183E-04	-4.4187E-02	8.1162E-02
6.9823E-04	-4.4007E-02	8.0826E-02
7.0469E-04	-4.3828E-02	8.0492E-02
