x	s-sbar	delta
2.7542E-03	-4.8927E-10	1.6823E-06
2.7797E-03	-5.4350E-10	1.7795E-06
2.8054E-03	-6.0344E-10	1.8817E-06
2.8314E-03	-6.6968E-10	1.9893E-06
2.8576E-03	-7.4284E-10	2.1026E-06
2.8840E-03	-8.2359E-10	2.2217E-06
2.9107E-03	-9.1269E-10	2.3470E-06
2.9376E-03	-1.0109E-09	2.4788E-06
2.9648E-03	-1.1193E-09	2.6173E-06
2.9923E-03	-1.2386E-09	2.7628E-06
3.0200E-03	-1.3700E-09	2.9158E-06
3.0479E-03	-1.5147E-09	3.0765E-06
3.0761E-03	-1.6739E-09	3.2452E-06
3.1046E-03	-1.8489E-09	3.4224E-06
3.1333E-03	-2.0414E-09	3.6084E-06
3.1623E-03	-2.2528E-09	3.8036E-06
3.1915E-03	-2.4850E-09	4.0083E-06
3.2211E-03	-2.7399E-09	4.2231E-06
3.2509E-03	-3.0196E-09	4.4484E-06
3.2810E-03	-3.3263E-09	4.6846E-06
3.3113E-03	-3.6626E-09	4.9322E-06
3.3420E-03	-4.0311E-09	5.1916E-06
3.3729E-03	-4.4348E-09	5.4635E-06
3.4041E-03	-4.8767E-09	5.7482E-06
3.4356E-03	-5.3602E-09	6.0464E-06
3.4674E-03	-5.8892E-09	6.3586E-06
3.4995E-03	-6.4676E-09	6.6854E-06
3.5318E-03	-7.0997E-09	7.0274E-06
3.5645E-03	-7.7902E-09	7.3853E-06
3.5975E-03	-8.5443E-09	7.7596E-06
3.6308E-03	-9.3673E-09	8.1511E-06
3.6644E-03	-1.0265E-08	8.5604E-06
3.6983E-03	-1.1245E-08	8.9883E-06
3.7325E-03	-1.2312E-08	9.4355E-06
3.7670E-03	-1.3475E-08	9.9027E-06
3.8019E-03	-1.4743E-08	1.0391E-05
3.8371E-03	-1.6122E-08	1.0901E-05
3.8726E-03	-1.7623E-08	1.1433E-05
3.9084E-03	-1.9257E-08	1.1989E-05
3.9446E-03	-2.1033E-08	1.2569E-05
3.9811E-03	-2.2963E-08	1.3174E-05
4.0179E-03	-2.5061E-08	1.3806E-05
4.0551E-03	-2.7339E-08	1.4464E-05
4.0926E-03	-2.9812E-08	1.5151E-05
4.1305E-03	-3.2496E-08	1.5868E-05
4.1687E-03	-3.5407E-08	1.6614E-05
4.2073E-03	-3.8564E-08	1.7392E-05
4.2462E-03	-4.1986E-08	1.8203E-05
4.2855E-03	-4.5693E-08	1.9048E-05
4.3251E-03	-4.9709E-08	1.9928E-05
4.3652E-03	-5.4056E-08	2.0844E-05
4.4055E-03	-5.8761E-08	2.1798E-05
4.4463E-03	-6.3850E-08	2.2791E-05
4.4875E-03	-6.9354E-08	2.3824E-05
4.5290E-03	-7.5303E-08	2.4899E-05
4.5709E-03	-8.1731E-08	2.6017E-05
4.6132E-03	-8.8675E-08	2.7180E-05
4.6559E-03	-9.6172E-08	2.8390E-05
4.6989E-03	-1.0426E-07	2.9648E-05
4.7424E-03	-1.1299E-07	3.0955E-05
4.7863E-03	-1.2241E-07	3.2313E-05
4.8306E-03	-1.3256E-07	3.3724E-05
4.8753E-03	-1.4350E-07	3.5191E-05
4.9204E-03	-1.5529E-07	3.6714E-05
4.9659E-03	-1.6798E-07	3.8295E-05
5.0119E-03	-1.8164E-07	3.9937E-05
5.0582E-03	-1.9634E-07	4.1641E-05
5.1050E-03	-2.1216E-07	4.3410E-05
5.1523E-03	-2.2917E-07	4.5245E-05
5.2000E-03	-2.4745E-07	4.7149E-05
5.2481E-03	-2.6709E-07	4.9124E-05
5.2966E-03	-2.8820E-07	5.1172E-05
5.3456E-03	-3.1086E-07	5.3295E-05
5.3951E-03	-3.3518E-07	5.5497E-05
5.4450E-03	-3.6128E-07	5.7778E-05
5.4954E-03	-3.8928E-07	6.0142E-05
5.5463E-03	-4.1930E-07	6.2592E-05
5.5976E-03	-4.5148E-07	6.5129E-05
5.6494E-03	-4.8596E-07	6.7757E-05
5.7016E-03	-5.2290E-07	7.0479E-05
5.7544E-03	-5.6245E-07	7.3296E-05
5.8076E-03	-6.0478E-07	7.6212E-05
5.8614E-03	-6.5009E-07	7.9230E-05
5.9156E-03	-6.9855E-07	8.2353E-05
5.9704E-03	-7.5037E-07	8.5584E-05
6.0256E-03	-8.0577E-07	8.8926E-05
6.0814E-03	-8.6497E-07	9.2383E-05
6.1376E-03	-9.2821E-07	9.5957E-05
6.1944E-03	-9.9575E-07	9.9651E-05
6.2517E-03	-1.0678E-06	1.0347E-04
6.3096E-03	-1.1448E-06	1.0742E-04
6.3680E-03	-1.2269E-06	1.1150E-04
6.4269E-03	-1.3144E-06	1.1571E-04
6.4863E-03	-1.4078E-06	1.2006E-04
6.5464E-03	-1.5073E-06	1.2456E-04
6.6069E-03	-1.6133E-06	1.2920E-04
6.6681E-03	-1.7262E-06	1.3399E-04
6.7298E-03	-1.8464E-06	1.3893E-04
6.7920E-03	-1.9743E-06	1.4404E-04
6.8549E-03	-2.1105E-06	1.4930E-04
6.9183E-03	-2.2554E-06	1.5474E-04
6.9823E-03	-2.4094E-06	1.6034E-04
7.0469E-03	-2.5732E-06	1.6612E-04
7.1121E-03	-2.7472E-06	1.7208E-04
7.1779E-03	-2.9322E-06	1.7823E-04
7.2444E-03	-3.1286E-06	1.8456E-04
7.3114E-03	-3.3371E-06	1.9109E-04
7.3790E-03	-3.5585E-06	1.9782E-04
7.4473E-03	-3.7934E-06	2.0475E-04
7.5162E-03	-4.0425E-06	2.1189E-04
7.5858E-03	-4.3068E-06	2.1925E-04
7.6560E-03	-4.5869E-06	2.2682E-04
7.7268E-03	-4.8838E-06	2.3462E-04
7.7983E-03	-5.1984E-06	2.4265E-04
7.8705E-03	-5.5317E-06	2.5091E-04
7.9433E-03	-5.8845E-06	2.5942E-04
8.0168E-03	-6.2581E-06	2.6817E-04
8.0910E-03	-6.6534E-06	2.7717E-04
8.1658E-03	-7.0716E-06	2.8644E-04
8.2414E-03	-7.5139E-06	2.9596E-04
8.3176E-03	-7.9816E-06	3.0576E-04
8.3946E-03	-8.4760E-06	3.1583E-04
8.4723E-03	-8.9984E-06	3.2618E-04
8.5507E-03	-9.5503E-06	3.3682E-04
8.6298E-03	-1.0133E-05	3.4776E-04
8.7096E-03	-1.0749E-05	3.5900E-04
8.7902E-03	-1.1398E-05	3.7054E-04
8.8716E-03	-1.2084E-05	3.8240E-04
8.9536E-03	-1.2807E-05	3.9458E-04
9.0365E-03	-1.3569E-05	4.0709E-04
9.1201E-03	-1.4374E-05	4.1993E-04
9.2045E-03	-1.5221E-05	4.3311E-04
9.2897E-03	-1.6114E-05	4.4665E-04
9.3756E-03	-1.7055E-05	4.6053E-04
9.4624E-03	-1.8046E-05	4.7478E-04
9.5499E-03	-1.9089E-05	4.8940E-04
9.6383E-03	-2.0187E-05	5.0440E-04
9.7275E-03	-2.1343E-05	5.1978E-04
9.8175E-03	-2.2559E-05	5.3555E-04
9.9083E-03	-2.3837E-05	5.5173E-04
1.0000E-02	-2.5182E-05	5.6831E-04
1.1984E-02	-7.0240E-05	9.8853E-04
1.3968E-02	-1.5542E-04	1.5168E-03
1.5952E-02	-2.9389E-04	2.1364E-03
1.7936E-02	-4.9663E-04	2.8294E-03
1.9920E-02	-7.7181E-04	3.5784E-03
2.1904E-02	-1.1247E-03	4.3671E-03
2.3888E-02	-1.5579E-03	5.1813E-03
2.5872E-02	-2.0715E-03	6.0081E-03
2.7856E-02	-2.6637E-03	6.8366E-03
2.9840E-02	-3.3311E-03	7.6574E-03
3.1824E-02	-4.0691E-03	8.4622E-03
3.3808E-02	-4.8721E-03	9.2442E-03
3.5792E-02	-5.7339E-03	9.9976E-03
3.7776E-02	-6.6478E-03	1.0717E-02
3.9760E-02	-7.6070E-03	1.1399E-02
4.1743E-02	-8.6045E-03	1.2039E-02
4.3727E-02	-9.6334E-03	1.2635E-02
4.5711E-02	-1.0687E-02	1.3184E-02
4.7695E-02	-1.1759E-02	1.3685E-02
4.9679E-02	-1.2843E-02	1.4135E-02
5.1663E-02	-1.3933E-02	1.4534E-02
5.3647E-02	-1.5023E-02	1.4880E-02
5.5631E-02	-1.6108E-02	1.5174E-02
5.7615E-02	-1.7184E-02	1.5416E-02
5.9599E-02	-1.8246E-02	1.5604E-02
6.1583E-02	-1.9290E-02	1.5741E-02
6.3567E-02	-2.0311E-02	1.5826E-02
6.5551E-02	-2.1308E-02	1.5861E-02
6.7535E-02	-2.2275E-02	1.5847E-02
6.9519E-02	-2.3212E-02	1.5784E-02
7.1503E-02	-2.4115E-02	1.5676E-02
7.3487E-02	-2.4982E-02	1.5523E-02
7.5471E-02	-2.5812E-02	1.5327E-02
7.7455E-02	-2.6602E-02	1.5090E-02
7.9439E-02	-2.7352E-02	1.4815E-02
8.1423E-02	-2.8061E-02	1.4503E-02
8.3407E-02	-2.8726E-02	1.4158E-02
8.5391E-02	-2.9349E-02	1.3782E-02
8.7375E-02	-2.9927E-02	1.3377E-02
8.9359E-02	-3.0462E-02	1.2946E-02
9.1343E-02	-3.0952E-02	1.2492E-02
9.3327E-02	-3.1398E-02	1.2017E-02
9.5311E-02	-3.1800E-02	1.1525E-02
9.7295E-02	-3.2157E-02	1.1018E-02
9.9279E-02	-3.2471E-02	1.0500E-02
1.0126E-01	-3.2741E-02	9.9738E-03
1.0325E-01	-3.2969E-02	9.4425E-03
1.0523E-01	-3.3154E-02	8.9097E-03
1.0721E-01	-3.3298E-02	8.3788E-03
1.0920E-01	-3.3401E-02	7.8536E-03
1.1118E-01	-3.3464E-02	7.3383E-03
1.1317E-01	-3.3488E-02	6.8372E-03
1.1515E-01	-3.3474E-02	6.3551E-03
1.1713E-01	-3.3422E-02	5.8975E-03
1.1912E-01	-3.3334E-02	5.4702E-03
1.2110E-01	-3.3211E-02	5.0799E-03
1.2309E-01	-3.3054E-02	4.7334E-03
