Q2	Fs	dFs
2.2200E+00	1.4298E-04	3.8864E-04
2.2300E+00	1.4210E-04	3.8729E-04
2.2400E+00	1.4122E-04	3.8594E-04
2.2500E+00	1.4035E-04	3.8459E-04
2.2600E+00	1.3949E-04	3.8325E-04
2.2700E+00	1.3863E-04	3.8191E-04
2.2800E+00	1.3778E-04	3.8058E-04
2.2900E+00	1.3694E-04	3.7925E-04
2.3000E+00	1.3610E-04	3.7793E-04
2.3100E+00	1.3527E-04	3.7660E-04
2.3200E+00	1.3444E-04	3.7529E-04
2.3300E+00	1.3362E-04	3.7397E-04
2.3400E+00	1.3280E-04	3.7266E-04
2.3500E+00	1.3199E-04	3.7136E-04
2.3600E+00	1.3119E-04	3.7006E-04
2.3700E+00	1.3039E-04	3.6876E-04
2.3800E+00	1.2960E-04	3.6747E-04
2.3900E+00	1.2881E-04	3.6618E-04
2.4000E+00	1.2803E-04	3.6489E-04
2.4100E+00	1.2725E-04	3.6361E-04
2.4200E+00	1.2648E-04	3.6233E-04
2.4300E+00	1.2572E-04	3.6106E-04
2.4400E+00	1.2496E-04	3.5979E-04
2.4500E+00	1.2421E-04	3.5852E-04
2.4600E+00	1.2346E-04	3.5726E-04
2.4700E+00	1.2271E-04	3.5601E-04
2.4800E+00	1.2198E-04	3.5475E-04
2.4900E+00	1.2124E-04	3.5351E-04
2.5000E+00	1.2051E-04	3.5226E-04
2.5100E+00	1.1979E-04	3.5102E-04
2.5200E+00	1.1907E-04	3.4978E-04
2.5300E+00	1.1836E-04	3.4855E-04
2.5400E+00	1.1765E-04	3.4732E-04
2.5500E+00	1.1695E-04	3.4610E-04
2.5600E+00	1.1625E-04	3.4488E-04
2.5700E+00	1.1556E-04	3.4367E-04
2.5800E+00	1.1487E-04	3.4245E-04
2.5900E+00	1.1419E-04	3.4125E-04
2.6000E+00	1.1351E-04	3.4004E-04
2.6100E+00	1.1284E-04	3.3884E-04
2.6200E+00	1.1217E-04	3.3765E-04
2.6300E+00	1.1151E-04	3.3646E-04
2.6400E+00	1.1085E-04	3.3527E-04
2.6500E+00	1.1019E-04	3.3409E-04
2.6600E+00	1.0954E-04	3.3291E-04
2.6700E+00	1.0890E-04	3.3174E-04
2.6800E+00	1.0825E-04	3.3057E-04
2.6900E+00	1.0762E-04	3.2940E-04
2.7000E+00	1.0699E-04	3.2824E-04
2.7100E+00	1.0636E-04	3.2708E-04
2.7200E+00	1.0573E-04	3.2593E-04
2.7300E+00	1.0512E-04	3.2478E-04
2.7400E+00	1.0450E-04	3.2363E-04
2.7500E+00	1.0389E-04	3.2249E-04
2.7600E+00	1.0328E-04	3.2135E-04
2.7700E+00	1.0268E-04	3.2022E-04
2.7800E+00	1.0208E-04	3.1909E-04
2.7900E+00	1.0149E-04	3.1796E-04
2.8000E+00	1.0090E-04	3.1684E-04
2.8100E+00	1.0032E-04	3.1573E-04
2.8200E+00	9.9735E-05	3.1461E-04
2.8300E+00	9.9157E-05	3.1350E-04
2.8400E+00	9.8584E-05	3.1240E-04
2.8500E+00	9.8015E-05	3.1130E-04
2.8600E+00	9.7449E-05	3.1020E-04
2.8700E+00	9.6888E-05	3.0911E-04
2.8800E+00	9.6330E-05	3.0802E-04
2.8900E+00	9.5777E-05	3.0694E-04
2.9000E+00	9.5227E-05	3.0585E-04
2.9100E+00	9.4680E-05	3.0478E-04
2.9200E+00	9.4138E-05	3.0370E-04
2.9300E+00	9.3599E-05	3.0264E-04
2.9400E+00	9.3064E-05	3.0157E-04
2.9500E+00	9.2533E-05	3.0051E-04
2.9600E+00	9.2006E-05	2.9945E-04
2.9700E+00	9.1482E-05	2.9840E-04
2.9800E+00	9.0961E-05	2.9735E-04
2.9900E+00	9.0444E-05	2.9630E-04
3.0000E+00	8.9931E-05	2.9526E-04
3.0100E+00	8.9421E-05	2.9423E-04
3.0200E+00	8.8915E-05	2.9319E-04
3.0300E+00	8.8412E-05	2.9216E-04
3.0400E+00	8.7913E-05	2.9114E-04
3.0500E+00	8.7417E-05	2.9011E-04
3.0600E+00	8.6924E-05	2.8910E-04
3.0700E+00	8.6435E-05	2.8808E-04
3.0800E+00	8.5949E-05	2.8707E-04
3.0900E+00	8.5466E-05	2.8607E-04
3.1000E+00	8.4987E-05	2.8506E-04
3.1100E+00	8.4510E-05	2.8406E-04
3.1200E+00	8.4038E-05	2.8307E-04
3.1300E+00	8.3568E-05	2.8208E-04
3.1400E+00	8.3101E-05	2.8109E-04
3.1500E+00	8.2638E-05	2.8011E-04
3.1600E+00	8.2178E-05	2.7913E-04
3.1700E+00	8.1720E-05	2.7815E-04
3.1800E+00	8.1266E-05	2.7718E-04
3.1900E+00	8.0815E-05	2.7621E-04
3.2000E+00	8.0367E-05	2.7524E-04
3.2100E+00	7.9922E-05	2.7428E-04
3.2200E+00	7.9480E-05	2.7332E-04
3.2300E+00	7.9041E-05	2.7237E-04
3.2400E+00	7.8605E-05	2.7142E-04
3.2500E+00	7.8172E-05	2.7047E-04
3.2600E+00	7.7742E-05	2.6953E-04
3.2700E+00	7.7315E-05	2.6859E-04
3.2800E+00	7.6890E-05	2.6765E-04
3.2900E+00	7.6468E-05	2.6672E-04
3.3000E+00	7.6049E-05	2.6579E-04
3.3100E+00	7.5633E-05	2.6487E-04
3.3200E+00	7.5220E-05	2.6394E-04
3.3300E+00	7.4809E-05	2.6303E-04
3.3400E+00	7.4402E-05	2.6211E-04
3.3500E+00	7.3996E-05	2.6120E-04
3.3600E+00	7.3594E-05	2.6029E-04
3.3700E+00	7.3194E-05	2.5939E-04
3.3800E+00	7.2797E-05	2.5849E-04
3.3900E+00	7.2402E-05	2.5759E-04
3.4000E+00	7.2010E-05	2.5670E-04
3.4100E+00	7.1621E-05	2.5581E-04
3.4200E+00	7.1234E-05	2.5492E-04
