Q2	Fs	dFs
1.7900E+00	1.3236E-03	3.3018E-15
1.8000E+00	1.3162E-03	3.2835E-15
1.8100E+00	1.3088E-03	3.2653E-15
1.8200E+00	1.3015E-03	3.2471E-15
1.8300E+00	1.2942E-03	3.2289E-15
1.8400E+00	1.2869E-03	3.2109E-15
1.8500E+00	1.2796E-03	3.1930E-15
1.8600E+00	1.2724E-03	3.1751E-15
1.8700E+00	1.2652E-03	3.1572E-15
1.8800E+00	1.2580E-03	3.1395E-15
1.8900E+00	1.2509E-03	3.1218E-15
1.9000E+00	1.2438E-03	3.1041E-15
1.9100E+00	1.2367E-03	3.0865E-15
1.9200E+00	1.2296E-03	3.0691E-15
1.9300E+00	1.2226E-03	3.0517E-15
1.9400E+00	1.2156E-03	3.0344E-15
1.9500E+00	1.2086E-03	3.0171E-15
1.9600E+00	1.2017E-03	2.9999E-15
1.9700E+00	1.1948E-03	2.9828E-15
1.9800E+00	1.1879E-03	2.9656E-15
1.9900E+00	1.1810E-03	2.9488E-15
2.0000E+00	1.1742E-03	2.9318E-15
2.0100E+00	1.1674E-03	2.9150E-15
2.0200E+00	1.1607E-03	2.8983E-15
2.0300E+00	1.1539E-03	2.8816E-15
2.0400E+00	1.1472E-03	2.8650E-15
2.0500E+00	1.1406E-03	2.8484E-15
2.0600E+00	1.1339E-03	2.8321E-15
2.0700E+00	1.1273E-03	2.8157E-15
2.0800E+00	1.1208E-03	2.7994E-15
2.0900E+00	1.1142E-03	2.7831E-15
2.1000E+00	1.1077E-03	2.7670E-15
2.1100E+00	1.1012E-03	2.7511E-15
2.1200E+00	1.0948E-03	2.7350E-15
2.1300E+00	1.0883E-03	2.7191E-15
2.1400E+00	1.0820E-03	2.7033E-15
2.1500E+00	1.0756E-03	2.6875E-15
2.1600E+00	1.0693E-03	2.6719E-15
2.1700E+00	1.0630E-03	2.6562E-15
2.1800E+00	1.0567E-03	2.6408E-15
2.1900E+00	1.0505E-03	2.6254E-15
2.2000E+00	1.0443E-03	2.6099E-15
2.2100E+00	1.0381E-03	2.5947E-15
2.2200E+00	1.0320E-03	2.5795E-15
2.2300E+00	1.0259E-03	2.5643E-15
2.2400E+00	1.0198E-03	2.5493E-15
2.2500E+00	1.0138E-03	2.5343E-15
2.2600E+00	1.0078E-03	2.5194E-15
2.2700E+00	1.0018E-03	2.5046E-15
2.2800E+00	9.9585E-04	2.4898E-15
2.2900E+00	9.8994E-04	2.4751E-15
2.3000E+00	9.8405E-04	2.4607E-15
2.3100E+00	9.7820E-04	2.4461E-15
2.3200E+00	9.7238E-04	2.4317E-15
2.3300E+00	9.6659E-04	2.4174E-15
2.3400E+00	9.6083E-04	2.4031E-15
2.3500E+00	9.5510E-04	2.3889E-15
2.3600E+00	9.4941E-04	2.3748E-15
2.3700E+00	9.4374E-04	2.3608E-15
2.3800E+00	9.3811E-04	2.3468E-15
2.3900E+00	9.3251E-04	2.3329E-15
2.4000E+00	9.2693E-04	2.3191E-15
2.4100E+00	9.2139E-04	2.3053E-15
2.4200E+00	9.1588E-04	2.2916E-15
2.4300E+00	9.1040E-04	2.2781E-15
2.4400E+00	9.0495E-04	2.2646E-15
2.4500E+00	8.9953E-04	2.2512E-15
2.4600E+00	8.9414E-04	2.2378E-15
2.4700E+00	8.8878E-04	2.2245E-15
2.4800E+00	8.8345E-04	2.2113E-15
2.4900E+00	8.7815E-04	2.1981E-15
2.5000E+00	8.7289E-04	2.1851E-15
2.5100E+00	8.6765E-04	2.1721E-15
2.5200E+00	8.6244E-04	2.1592E-15
2.5300E+00	8.5726E-04	2.1463E-15
2.5400E+00	8.5211E-04	2.1335E-15
2.5500E+00	8.4699E-04	2.1209E-15
2.5600E+00	8.4190E-04	2.1082E-15
2.5700E+00	8.3684E-04	2.0957E-15
2.5800E+00	8.3180E-04	2.0832E-15
2.5900E+00	8.2680E-04	2.0708E-15
2.6000E+00	8.2183E-04	2.0584E-15
2.6100E+00	8.1688E-04	2.0462E-15
2.6200E+00	8.1196E-04	2.0340E-15
2.6300E+00	8.0707E-04	2.0219E-15
2.6400E+00	8.0221E-04	2.0098E-15
2.6500E+00	7.9738E-04	1.9978E-15
2.6600E+00	7.9258E-04	1.9859E-15
2.6700E+00	7.8781E-04	1.9741E-15
2.6800E+00	7.8306E-04	1.9623E-15
2.6900E+00	7.7834E-04	1.9506E-15
2.7000E+00	7.7365E-04	1.9390E-15
2.7100E+00	7.6899E-04	1.9274E-15
2.7200E+00	7.6435E-04	1.9159E-15
2.7300E+00	7.5974E-04	1.9045E-15
2.7400E+00	7.5516E-04	1.8931E-15
2.7500E+00	7.5061E-04	1.8818E-15
2.7600E+00	7.4608E-04	1.8706E-15
2.7700E+00	7.4158E-04	1.8594E-15
2.7800E+00	7.3711E-04	1.8484E-15
2.7900E+00	7.3266E-04	1.8373E-15
2.8000E+00	7.2824E-04	1.8263E-15
2.8100E+00	7.2385E-04	1.8154E-15
2.8200E+00	7.1948E-04	1.8046E-15
2.8300E+00	7.1514E-04	1.7939E-15
2.8400E+00	7.1083E-04	1.7831E-15
2.8500E+00	7.0654E-04	1.7724E-15
2.8600E+00	7.0228E-04	1.7618E-15
2.8700E+00	6.9804E-04	1.7514E-15
2.8800E+00	6.9383E-04	1.7409E-15
2.8900E+00	6.8965E-04	1.7305E-15
2.9000E+00	6.8549E-04	1.7202E-15
2.9100E+00	6.8135E-04	1.7100E-15
2.9200E+00	6.7724E-04	1.6997E-15
2.9300E+00	6.7316E-04	1.6896E-15
2.9400E+00	6.6910E-04	1.6795E-15
2.9500E+00	6.6506E-04	1.6695E-15
2.9600E+00	6.6105E-04	1.6595E-15
2.9700E+00	6.5706E-04	1.6496E-15
2.9800E+00	6.5310E-04	1.6398E-15
2.9900E+00	6.4916E-04	1.6300E-15
3.0000E+00	6.4525E-04	1.6203E-15
3.0100E+00	6.4136E-04	1.6107E-15
3.0200E+00	6.3749E-04	1.6010E-15
3.0300E+00	6.3365E-04	1.5915E-15
3.0400E+00	6.2983E-04	1.5820E-15
3.0500E+00	6.2604E-04	1.5725E-15
3.0600E+00	6.2227E-04	1.5632E-15
3.0700E+00	6.1852E-04	1.5539E-15
3.0800E+00	6.1479E-04	1.5446E-15
3.0900E+00	6.1109E-04	1.5354E-15
3.1000E+00	6.0741E-04	1.5263E-15
3.1100E+00	6.0375E-04	1.5172E-15
3.1200E+00	6.0012E-04	1.5082E-15
3.1300E+00	5.9650E-04	1.4992E-15
3.1400E+00	5.9291E-04	1.4903E-15
3.1500E+00	5.8935E-04	1.4814E-15
3.1600E+00	5.8580E-04	1.4726E-15
3.1700E+00	5.8228E-04	1.4638E-15
3.1800E+00	5.7877E-04	1.4552E-15
3.1900E+00	5.7529E-04	1.4465E-15
3.2000E+00	5.7183E-04	1.4379E-15
3.2100E+00	5.6840E-04	1.4294E-15
3.2200E+00	5.6498E-04	1.4209E-15
3.2300E+00	5.6159E-04	1.4124E-15
3.2400E+00	5.5821E-04	1.4040E-15
3.2500E+00	5.5486E-04	1.3957E-15
3.2600E+00	5.5153E-04	1.3875E-15
3.2700E+00	5.4822E-04	1.3792E-15
3.2800E+00	5.4493E-04	1.3710E-15
3.2900E+00	5.4166E-04	1.3629E-15
3.3000E+00	5.3841E-04	1.3548E-15
3.3100E+00	5.3518E-04	1.3468E-15
3.3200E+00	5.3197E-04	1.3388E-15
3.3300E+00	5.2878E-04	1.3309E-15
3.3400E+00	5.2561E-04	1.3230E-15
3.3500E+00	5.2246E-04	1.3151E-15
3.3600E+00	5.1933E-04	1.3073E-15
3.3700E+00	5.1622E-04	1.2996E-15
3.3800E+00	5.1313E-04	1.2919E-15
3.3900E+00	5.1005E-04	1.2843E-15
3.4000E+00	5.0700E-04	1.2767E-15
3.4100E+00	5.0397E-04	1.2692E-15
3.4200E+00	5.0095E-04	1.2616E-15
3.4300E+00	4.9796E-04	1.2542E-15
3.4400E+00	4.9498E-04	1.2469E-15
3.4500E+00	4.9202E-04	1.2394E-15
3.4600E+00	4.8908E-04	1.2321E-15
3.4700E+00	4.8616E-04	1.2248E-15
3.4800E+00	4.8325E-04	1.2176E-15
3.4900E+00	4.8037E-04	1.2105E-15
3.5000E+00	4.7750E-04	1.2033E-15
3.5100E+00	4.7465E-04	1.1962E-15
3.5200E+00	4.7182E-04	1.1892E-15
3.5300E+00	4.6901E-04	1.1822E-15
3.5400E+00	4.6621E-04	1.1752E-15
3.5500E+00	4.6343E-04	1.1683E-15
3.5600E+00	4.6067E-04	1.1614E-15
3.5700E+00	4.5793E-04	1.1545E-15
3.5800E+00	4.5520E-04	1.1478E-15
3.5900E+00	4.5249E-04	1.1410E-15
3.6000E+00	4.4980E-04	1.1344E-15
