Q2	Fs
8.7100E+00	7.2472E-06
8.7200E+00	7.2240E-06
8.7300E+00	7.2008E-06
8.7400E+00	7.1778E-06
8.7500E+00	7.1548E-06
8.7600E+00	7.1320E-06
8.7700E+00	7.1092E-06
8.7800E+00	7.0865E-06
8.7900E+00	7.0639E-06
8.8000E+00	7.0414E-06
8.8100E+00	7.0190E-06
8.8200E+00	6.9966E-06
8.8300E+00	6.9744E-06
8.8400E+00	6.9523E-06
8.8500E+00	6.9302E-06
8.8600E+00	6.9082E-06
8.8700E+00	6.8863E-06
8.8800E+00	6.8645E-06
8.8900E+00	6.8428E-06
8.9000E+00	6.8212E-06
8.9100E+00	6.7996E-06
8.9200E+00	6.7782E-06
8.9300E+00	6.7568E-06
8.9400E+00	6.7355E-06
8.9500E+00	6.7143E-06
8.9600E+00	6.6932E-06
8.9700E+00	6.6721E-06
8.9800E+00	6.6512E-06
8.9900E+00	6.6303E-06
9.0000E+00	6.6095E-06
9.0100E+00	6.5888E-06
9.0200E+00	6.5681E-06
9.0300E+00	6.5476E-06
9.0400E+00	6.5271E-06
9.0500E+00	6.5067E-06
9.0600E+00	6.4864E-06
9.0700E+00	6.4662E-06
9.0800E+00	6.4460E-06
9.0900E+00	6.4259E-06
9.1000E+00	6.4059E-06
9.1100E+00	6.3860E-06
9.1200E+00	6.3662E-06
9.1300E+00	6.3464E-06
9.1400E+00	6.3267E-06
9.1500E+00	6.3071E-06
9.1600E+00	6.2876E-06
9.1700E+00	6.2681E-06
9.1800E+00	6.2487E-06
9.1900E+00	6.2294E-06
9.2000E+00	6.2102E-06
9.2100E+00	6.1910E-06
9.2200E+00	6.1719E-06
9.2300E+00	6.1529E-06
9.2400E+00	6.1339E-06
9.2500E+00	6.1151E-06
9.2600E+00	6.0963E-06
9.2700E+00	6.0776E-06
9.2800E+00	6.0589E-06
9.2900E+00	6.0403E-06
9.3000E+00	6.0218E-06
9.3100E+00	6.0034E-06
9.3200E+00	5.9850E-06
9.3300E+00	5.9667E-06
9.3400E+00	5.9485E-06
9.3500E+00	5.9303E-06
9.3600E+00	5.9122E-06
9.3700E+00	5.8942E-06
9.3800E+00	5.8762E-06
9.3900E+00	5.8583E-06
9.4000E+00	5.8405E-06
9.4100E+00	5.8228E-06
9.4200E+00	5.8051E-06
9.4300E+00	5.7875E-06
9.4400E+00	5.7699E-06
9.4500E+00	5.7524E-06
9.4600E+00	5.7350E-06
9.4700E+00	5.7177E-06
9.4800E+00	5.7004E-06
9.4900E+00	5.6832E-06
9.5000E+00	5.6660E-06
9.5100E+00	5.6489E-06
9.5200E+00	5.6319E-06
9.5300E+00	5.6149E-06
9.5400E+00	5.5980E-06
9.5500E+00	5.5812E-06
9.5600E+00	5.5644E-06
9.5700E+00	5.5477E-06
9.5800E+00	5.5311E-06
9.5900E+00	5.5145E-06
9.6000E+00	5.4980E-06
9.6100E+00	5.4815E-06
9.6200E+00	5.4651E-06
9.6300E+00	5.4488E-06
9.6400E+00	5.4325E-06
9.6500E+00	5.4163E-06
9.6600E+00	5.4001E-06
9.6700E+00	5.3840E-06
9.6800E+00	5.3680E-06
9.6900E+00	5.3520E-06
9.7000E+00	5.3361E-06
9.7100E+00	5.3203E-06
9.7200E+00	5.3045E-06
9.7300E+00	5.2887E-06
9.7400E+00	5.2730E-06
9.7500E+00	5.2574E-06
9.7600E+00	5.2419E-06
9.7700E+00	5.2263E-06
9.7800E+00	5.2109E-06
9.7900E+00	5.1955E-06
9.8000E+00	5.1802E-06
9.8100E+00	5.1649E-06
9.8200E+00	5.1497E-06
9.8300E+00	5.1345E-06
9.8400E+00	5.1194E-06
9.8500E+00	5.1043E-06
9.8600E+00	5.0893E-06
9.8700E+00	5.0744E-06
9.8800E+00	5.0595E-06
9.8900E+00	5.0446E-06
9.9000E+00	5.0299E-06
9.9100E+00	5.0151E-06
9.9200E+00	5.0005E-06
9.9300E+00	4.9858E-06
9.9400E+00	4.9713E-06
9.9500E+00	4.9568E-06
9.9600E+00	4.9423E-06
9.9700E+00	4.9279E-06
9.9800E+00	4.9135E-06
9.9900E+00	4.8992E-06
