Q2	Fs
3.4400E+00	6.4779E-05
3.4500E+00	6.4426E-05
3.4600E+00	6.4076E-05
3.4700E+00	6.3728E-05
3.4800E+00	6.3382E-05
3.4900E+00	6.3039E-05
3.5000E+00	6.2697E-05
3.5100E+00	6.2358E-05
3.5200E+00	6.2022E-05
3.5300E+00	6.1687E-05
3.5400E+00	6.1355E-05
3.5500E+00	6.1025E-05
3.5600E+00	6.0697E-05
3.5700E+00	6.0371E-05
3.5800E+00	6.0048E-05
3.5900E+00	5.9726E-05
3.6000E+00	5.9407E-05
3.6100E+00	5.9090E-05
3.6200E+00	5.8774E-05
3.6300E+00	5.8461E-05
3.6400E+00	5.8150E-05
3.6500E+00	5.7841E-05
3.6600E+00	5.7534E-05
3.6700E+00	5.7229E-05
3.6800E+00	5.6926E-05
3.6900E+00	5.6625E-05
3.7000E+00	5.6326E-05
3.7100E+00	5.6029E-05
3.7200E+00	5.5733E-05
3.7300E+00	5.5440E-05
3.7400E+00	5.5149E-05
3.7500E+00	5.4859E-05
3.7600E+00	5.4571E-05
3.7700E+00	5.4286E-05
3.7800E+00	5.4002E-05
3.7900E+00	5.3719E-05
3.8000E+00	5.3439E-05
3.8100E+00	5.3161E-05
3.8200E+00	5.2884E-05
3.8300E+00	5.2609E-05
3.8400E+00	5.2335E-05
3.8500E+00	5.2064E-05
3.8600E+00	5.1794E-05
3.8700E+00	5.1526E-05
3.8800E+00	5.1260E-05
3.8900E+00	5.0995E-05
3.9000E+00	5.0732E-05
3.9100E+00	5.0471E-05
3.9200E+00	5.0211E-05
3.9300E+00	4.9953E-05
3.9400E+00	4.9697E-05
3.9500E+00	4.9442E-05
3.9600E+00	4.9189E-05
3.9700E+00	4.8938E-05
3.9800E+00	4.8688E-05
3.9900E+00	4.8439E-05
4.0000E+00	4.8192E-05
4.0100E+00	4.7947E-05
4.0200E+00	4.7703E-05
4.0300E+00	4.7461E-05
4.0400E+00	4.7221E-05
4.0500E+00	4.6981E-05
4.0600E+00	4.6744E-05
4.0700E+00	4.6507E-05
4.0800E+00	4.6273E-05
4.0900E+00	4.6039E-05
4.1000E+00	4.5808E-05
4.1100E+00	4.5577E-05
4.1200E+00	4.5348E-05
4.1300E+00	4.5121E-05
4.1400E+00	4.4895E-05
4.1500E+00	4.4670E-05
4.1600E+00	4.4447E-05
4.1700E+00	4.4225E-05
4.1800E+00	4.4004E-05
4.1900E+00	4.3785E-05
4.2000E+00	4.3567E-05
4.2100E+00	4.3350E-05
4.2200E+00	4.3135E-05
4.2300E+00	4.2921E-05
4.2400E+00	4.2709E-05
4.2500E+00	4.2497E-05
4.2600E+00	4.2287E-05
4.2700E+00	4.2079E-05
4.2800E+00	4.1871E-05
4.2900E+00	4.1665E-05
4.3000E+00	4.1460E-05
4.3100E+00	4.1257E-05
4.3200E+00	4.1054E-05
4.3300E+00	4.0853E-05
4.3400E+00	4.0653E-05
4.3500E+00	4.0454E-05
4.3600E+00	4.0257E-05
4.3700E+00	4.0060E-05
4.3800E+00	3.9865E-05
4.3900E+00	3.9671E-05
4.4000E+00	3.9478E-05
4.4100E+00	3.9286E-05
4.4200E+00	3.9096E-05
4.4300E+00	3.8906E-05
4.4400E+00	3.8718E-05
4.4500E+00	3.8531E-05
4.4600E+00	3.8345E-05
4.4700E+00	3.8160E-05
4.4800E+00	3.7976E-05
4.4900E+00	3.7793E-05
4.5000E+00	3.7612E-05
4.5100E+00	3.7431E-05
4.5200E+00	3.7252E-05
4.5300E+00	3.7073E-05
4.5400E+00	3.6896E-05
4.5500E+00	3.6720E-05
4.5600E+00	3.6544E-05
4.5700E+00	3.6370E-05
4.5800E+00	3.6197E-05
4.5900E+00	3.6025E-05
4.6000E+00	3.5854E-05
4.6100E+00	3.5684E-05
4.6200E+00	3.5514E-05
4.6300E+00	3.5346E-05
4.6400E+00	3.5179E-05
4.6500E+00	3.5013E-05
4.6600E+00	3.4848E-05
4.6700E+00	3.4683E-05
4.6800E+00	3.4520E-05
4.6900E+00	3.4358E-05
4.7000E+00	3.4196E-05
4.7100E+00	3.4036E-05
4.7200E+00	3.3876E-05
