Q2	Fs	dFs
2.3200E+00	9.0192E-04	8.9660E-04
2.3300E+00	8.9756E-04	8.9493E-04
2.3400E+00	8.9322E-04	8.9326E-04
2.3500E+00	8.8890E-04	8.9159E-04
2.3600E+00	8.8460E-04	8.8990E-04
2.3700E+00	8.8032E-04	8.8821E-04
2.3800E+00	8.7607E-04	8.8651E-04
2.3900E+00	8.7183E-04	8.8480E-04
2.4000E+00	8.6762E-04	8.8309E-04
2.4100E+00	8.6343E-04	8.8137E-04
2.4200E+00	8.5927E-04	8.7964E-04
2.4300E+00	8.5512E-04	8.7791E-04
2.4400E+00	8.5100E-04	8.7617E-04
2.4500E+00	8.4689E-04	8.7442E-04
2.4600E+00	8.4281E-04	8.7267E-04
2.4700E+00	8.3875E-04	8.7091E-04
2.4800E+00	8.3471E-04	8.6915E-04
2.4900E+00	8.3070E-04	8.6738E-04
2.5000E+00	8.2670E-04	8.6561E-04
2.5100E+00	8.2272E-04	8.6383E-04
2.5200E+00	8.1877E-04	8.6205E-04
2.5300E+00	8.1483E-04	8.6027E-04
2.5400E+00	8.1092E-04	8.5848E-04
2.5500E+00	8.0703E-04	8.5668E-04
2.5600E+00	8.0316E-04	8.5488E-04
2.5700E+00	7.9930E-04	8.5308E-04
2.5800E+00	7.9547E-04	8.5127E-04
2.5900E+00	7.9166E-04	8.4946E-04
2.6000E+00	7.8787E-04	8.4765E-04
2.6100E+00	7.8410E-04	8.4584E-04
2.6200E+00	7.8035E-04	8.4402E-04
2.6300E+00	7.7662E-04	8.4219E-04
2.6400E+00	7.7291E-04	8.4037E-04
2.6500E+00	7.6922E-04	8.3854E-04
2.6600E+00	7.6554E-04	8.3671E-04
2.6700E+00	7.6189E-04	8.3488E-04
2.6800E+00	7.5826E-04	8.3304E-04
2.6900E+00	7.5465E-04	8.3121E-04
2.7000E+00	7.5105E-04	8.2937E-04
2.7100E+00	7.4748E-04	8.2753E-04
2.7200E+00	7.4392E-04	8.2568E-04
2.7300E+00	7.4039E-04	8.2384E-04
2.7400E+00	7.3687E-04	8.2199E-04
2.7500E+00	7.3337E-04	8.2014E-04
2.7600E+00	7.2989E-04	8.1830E-04
2.7700E+00	7.2643E-04	8.1645E-04
2.7800E+00	7.2299E-04	8.1459E-04
2.7900E+00	7.1957E-04	8.1274E-04
2.8000E+00	7.1616E-04	8.1089E-04
2.8100E+00	7.1277E-04	8.0903E-04
2.8200E+00	7.0940E-04	8.0718E-04
2.8300E+00	7.0605E-04	8.0532E-04
2.8400E+00	7.0272E-04	8.0347E-04
2.8500E+00	6.9941E-04	8.0161E-04
2.8600E+00	6.9611E-04	7.9976E-04
2.8700E+00	6.9283E-04	7.9790E-04
2.8800E+00	6.8957E-04	7.9604E-04
2.8900E+00	6.8632E-04	7.9418E-04
2.9000E+00	6.8310E-04	7.9233E-04
2.9100E+00	6.7989E-04	7.9047E-04
2.9200E+00	6.7670E-04	7.8861E-04
2.9300E+00	6.7352E-04	7.8676E-04
2.9400E+00	6.7036E-04	7.8490E-04
